"filename", "language", "SQL", "JavaScript", "comment", "blank", "total"
"/Users/wangyuhang/Desktop/mypro/niumu-backend/src/app/index.js", "JavaScript", 0, 8, 2, 6, 16
"/Users/wangyuhang/Desktop/mypro/niumu-backend/src/config/config.default.js", "JavaScript", 0, 3, 1, 4, 8
"/Users/wangyuhang/Desktop/mypro/niumu-backend/src/controlller/admin/index.js", "JavaScript", 0, 72, 10, 13, 95
"/Users/wangyuhang/Desktop/mypro/niumu-backend/src/controlller/class/index.js", "JavaScript", 0, 69, 7, 12, 88
"/Users/wangyuhang/Desktop/mypro/niumu-backend/src/controlller/common.js", "JavaScript", 0, 27, 0, 6, 33
"/Users/wangyuhang/Desktop/mypro/niumu-backend/src/controlller/course/index.js", "JavaScript", 0, 96, 10, 18, 124
"/Users/wangyuhang/Desktop/mypro/niumu-backend/src/controlller/student/index.js", "JavaScript", 0, 113, 6, 15, 134
"/Users/wangyuhang/Desktop/mypro/niumu-backend/src/controlller/teacher/index.js", "JavaScript", 0, 118, 7, 17, 142
"/Users/wangyuhang/Desktop/mypro/niumu-backend/src/db/seq.js", "JavaScript", 0, 14, 0, 4, 18
"/Users/wangyuhang/Desktop/mypro/niumu-backend/src/main.js", "JavaScript", 0, 5, 0, 2, 7
"/Users/wangyuhang/Desktop/mypro/niumu-backend/src/middleware/admin.middleware.js", "JavaScript", 0, 69, 4, 17, 90
"/Users/wangyuhang/Desktop/mypro/niumu-backend/src/middleware/auth.middleware.js", "JavaScript", 0, 30, 1, 3, 34
"/Users/wangyuhang/Desktop/mypro/niumu-backend/src/middleware/class.middleware.js", "JavaScript", 0, 39, 2, 13, 54
"/Users/wangyuhang/Desktop/mypro/niumu-backend/src/middleware/course.middleware.js", "JavaScript", 0, 55, 2, 9, 66
"/Users/wangyuhang/Desktop/mypro/niumu-backend/src/middleware/student.middleware.js", "JavaScript", 0, 0, 0, 1, 1
"/Users/wangyuhang/Desktop/mypro/niumu-backend/src/middleware/studentClass.middleware.js", "JavaScript", 0, 22, 1, 7, 30
"/Users/wangyuhang/Desktop/mypro/niumu-backend/src/routes/admin.js", "JavaScript", 0, 22, 5, 8, 35
"/Users/wangyuhang/Desktop/mypro/niumu-backend/src/routes/class.js", "JavaScript", 0, 38, 7, 10, 55
"/Users/wangyuhang/Desktop/mypro/niumu-backend/src/routes/course.js", "JavaScript", 0, 34, 11, 14, 59
"/Users/wangyuhang/Desktop/mypro/niumu-backend/src/routes/index.js", "JavaScript", 0, 12, 0, 3, 15
"/Users/wangyuhang/Desktop/mypro/niumu-backend/src/routes/student.js", "JavaScript", 0, 19, 6, 9, 34
"/Users/wangyuhang/Desktop/mypro/niumu-backend/src/routes/teacher.js", "JavaScript", 0, 21, 7, 10, 38
"/Users/wangyuhang/Desktop/mypro/niumu-backend/src/service/admin/index.js", "JavaScript", 0, 53, 3, 8, 64
"/Users/wangyuhang/Desktop/mypro/niumu-backend/src/service/class/index.js", "JavaScript", 0, 208, 49, 32, 289
"/Users/wangyuhang/Desktop/mypro/niumu-backend/src/service/class/sql.js", "JavaScript", 0, 394, 75, 37, 506
"/Users/wangyuhang/Desktop/mypro/niumu-backend/src/service/course/index.js", "JavaScript", 0, 230, 18, 32, 280
"/Users/wangyuhang/Desktop/mypro/niumu-backend/src/service/course/sql.js", "JavaScript", 0, 283, 27, 29, 339
"/Users/wangyuhang/Desktop/mypro/niumu-backend/src/service/student/index.js", "JavaScript", 0, 75, 6, 12, 93
"/Users/wangyuhang/Desktop/mypro/niumu-backend/src/service/student/sql.js", "JavaScript", 0, 107, 7, 12, 126
"/Users/wangyuhang/Desktop/mypro/niumu-backend/src/service/teacher/index.js", "JavaScript", 0, 90, 7, 16, 113
"/Users/wangyuhang/Desktop/mypro/niumu-backend/src/service/teacher/sql.js", "JavaScript", 0, 149, 9, 15, 173
"/Users/wangyuhang/Desktop/mypro/niumu-backend/src/service/user/index.js", "JavaScript", 0, 0, 0, 1, 1
"/Users/wangyuhang/Desktop/mypro/niumu-backend/src/sql/temp.sql", "SQL", 141, 0, 4, 14, 159
"/Users/wangyuhang/Desktop/mypro/niumu-backend/src/sql/users.sql", "SQL", 13, 0, 0, 0, 13
"/Users/wangyuhang/Desktop/mypro/niumu-backend/src/utils/constant.js", "JavaScript", 0, 32, 3, 4, 39
"/Users/wangyuhang/Desktop/mypro/niumu-backend/src/utils/database.js", "JavaScript", 0, 115, 16, 16, 147
"/Users/wangyuhang/Desktop/mypro/niumu-backend/src/utils/export.js", "JavaScript", 0, 48, 9, 8, 65
"/Users/wangyuhang/Desktop/mypro/niumu-backend/src/utils/index.js", "JavaScript", 0, 42, 2, 9, 53
"Total", "-", 154, 2712, 324, 446, 3636